asn,count,bad_count,CCA
dhosting.pl Sp. z o.o.,10,5,0.5
Nebula Global LLC,10,2,0.2
LH.pl Sp. z o.o.,9,4,0.4444444444444444
"HostDime.com, Inc.",9,3,0.3333333333333333
ROMARG SRL,9,4,0.4444444444444444
Des Capital B.V.,9,9,1.0
Contabo Inc.,9,4,0.4444444444444444
Zone Media OU,9,1,0.1111111111111111
YISU CLOUD LTD,9,1,0.1111111111111111
NAVER BUSINESS PLATFORM ASIA PACIFIC PTE. LTD.,9,0,0.0
PlanetHoster,9,4,0.4444444444444444
JSC Publishing House Komsomolskaya Pravda,9,0,0.0
Naukowa I Akademicka Siec Komputerowa - Panstwowy Instytut Badawczy,9,1,0.1111111111111111
SonderCloud Limited,9,5,0.5555555555555556
Telehouse EAD,9,5,0.5555555555555556
Blacknight Internet Solutions Limited,9,0,0.0
ARTERIA Networks Corporation,9,5,0.5555555555555556
Antbox Networks Limited,9,8,0.8888888888888888
HUAWEI CLOUDS,9,5,0.5555555555555556
"Timeweb, LLP",9,7,0.7777777777777778
Aire Networks Del Mediterraneo Sl Unipersonal,9,7,0.7777777777777778
"CYBERCON, INC.",9,0,0.0
Renater,9,0,0.0
HZ Hosting Ltd,9,9,1.0
TIM,8,0,0.0
Groupe LWS SARL,8,6,0.75
"INTERNET CZ, a.s.",8,5,0.625
Charter Communications Inc,8,0,0.0
Alibaba Cloud Singapore Private Limited,8,8,1.0
Leaseweb Canada Inc.,8,1,0.125
Private Layer INC,8,6,0.75
HopOne Internet Corporation,8,0,0.0
First Server Limited,8,5,0.625
CT-HangZhou-IDC,8,3,0.375
Mythic Beasts Ltd,8,0,0.0
Contabo Asia Private Limited,8,6,0.75
IT7 Networks Inc,8,8,1.0
Telmex Colombia S.A.,8,6,0.75
LiquidNet US LLC,8,5,0.625
Hostland LTD,8,4,0.5
VH Global Limited,8,0,0.0
Beyond.pl sp. z o.o.,8,2,0.25
NorthC Deutschland GmbH,8,0,0.0
"Handy Networks, LLC",8,0,0.0
Cizgi Telekomunikasyon Anonim Sirketi,8,6,0.75
CS LOXINFO Public Company Limited.,8,1,0.125
The Kroger Co.,8,0,0.0
GloboTech Communications,8,3,0.375
Virtual Systems LLC,8,5,0.625
VNET a.s.,8,2,0.25
cyon AG,8,0,0.0
WIIT AG,8,1,0.125
"AT&T Enterprises, LLC",8,1,0.125
NAVER Cloud Corp.,8,0,0.0
PlusServer GmbH,8,0,0.0
Overcasts Limited,8,0,0.0
Angelnet Limited,8,7,0.875
Level 27 BVBA,8,0,0.0
IQWeb FZ-LLC,8,7,0.875
COLT Technology Services Group Limited,8,2,0.25
